
значение показателя за год
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
Сельское поселение;5;3;3;3;3;3;3;3;3;3;1;1;
Вежайка;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;1;1;;;
Гам;;;;;;;;;;;;;
Сельское поселение;3;2;2;2;2;2;2;2;;;;;
Донаёль;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;1;1;1;1;
Илья-Шор;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;1;1;1;1;
Кожмудор;;;;;;;;;;;;;
Сельское поселение;6;5;5;5;5;5;5;5;5;5;5;5;
Мадмас;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;1;1;;;
Межег;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;2;2;2;2;2;2;
Студенец;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;1;1;1;1;
Усть-Вымь;;;;;;;;;;;;;
Сельское поселение;3;2;2;2;2;2;2;2;2;2;2;2;
Муниципальный район Усть-Куломский;;;;;;;;;;;;;
Муниципальный район Усть-Куломский;;;;;;;;;;;;;
Муниципальный район;55;36;37;36;35;36;36;36;36;1;2;2;
Аныб (до 1 января 2018г);;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;1;;;;
Вольдино;;;;;;;;;;;;;
Сельское поселение;3;3;3;3;3;3;3;3;3;;;;
Нижний Воч;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;2;2;2;;;;
Диасёръя;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;1;;;;
Деревянск;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;1;;;;
Дон;;;;;;;;;;;;;
Сельское поселение;2;2;2;1;;;;;;;;;
Кебанъёль;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;1;;;;
Керчомъя;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;1;;;;
Кужба;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;2;2;2;;0;0;
Мыёлдино;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;1;;;;
Носим (до 1 января 2018г);;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;2;2;2;;;;
Парч;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;1;;;;
Пожег;;;;;;;;;;;;;
Сельское поселение;5;5;5;5;5;5;5;5;5;0;0;0;
Помоздино;;;;;;;;;;;;;
Сельское поселение;4;4;4;4;4;4;4;4;4;;0;0;
Зимстан;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;2;2;2;;;;
Руч;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;1;;;;
Тимшер;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;2;2;2;;;;
Усть-Кулом;;;;;;;;;;;;;
Сельское поселение;1;1;2;2;2;3;3;3;3;1;1;1;
Усть-Нем;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;1;;;;
Югыдъяг;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;2;2;2;;;;
Муниципальный район Усть-Цилемский;;;;;;;;;;;;;
Муниципальный район Усть-Цилемский;;;;;;;;;;;;;
Муниципальный район;46;28;27;26;26;26;26;1;1;1;1;1;
Среднее Бугаево;;;;;;;;;;;;;
Сельское поселение;1;2;2;2;2;2;2;;;;;;
Ёрмица;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;2;;;;;0;
Коровий Ручей;;;;;;;;;;;;;
Сельское поселение;3;2;2;2;2;2;2;;;;;;
Нерица;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;;;;;;
Новый Бор;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;2;;;;;;
Окунев Нос;;;;;;;;;;;;;
Сельское поселение;2;1;1;1;1;1;1;;;;;;
Замежная;;;;;;;;;;;;;
Сельское поселение;6;6;6;6;5;5;6;;;;;;
Уег;;;;;;;;;;;;;
Сельское поселение;2;2;2;1;1;1;1;;;;;;
Усть-Цильма;;;;;;;;;;;;;
Сельское поселение;9;4;3;3;4;3;3;1;1;1;1;1;
Хабариха;;;;;;;;;;;;;
Сельское поселение;2;1;1;1;1;1;1;;;;;;
Трусово;;;;;;;;;;;;;
Сельское поселение;8;5;5;5;5;6;5;;;;;;
Городские округа Республики Коми;;;;;;;;;;;;;
Сыктывкар;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;37;15;14;13;11;11;11;11;11;11;11;11;
Воркута (до 1 января 2025 года);;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;25;10;10;10;9;9;7;5;4;4;4;3;
Вуктыл (до 1 января 2024 года);;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;;;;;;;;;;;;1;
Инта (до 1 января 2025 года);;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;17;11;11;10;10;10;10;2;2;2;2;2;
Усинск (до 1 января 2024 года);;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;19;14;12;11;11;12;12;12;12;12;11;11;
Ухта (до 1 марта 2024 года);;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;24;21;20;19;19;16;6;7;7;6;6;6;
Число общедоступных (публичных) библиотек, единица;;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;
Муниципальный район;9;9;9;9;9;9;6;1;1;1;1;;
Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;
Городское поселение;2;2;2;2;2;2;1;1;1;1;1;;
Дутово (до 1 января 2017 года);;;;;;;;;;;;;
Сельское поселение;3;3;3;3;3;3;3;;;;;;
Лемтыбож (до 1 января 2017 года);;;;;;;;;;;;;
