
значение показателя за год
;39711;44448;49758;57877;65580;58317;64763;72129;74013;82129;73016;83250;85620;146718;104031;110705;
Поголовье скота и птицы на конец года, голова;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Крупный рогатый скот;;;;;;;;;;;;;;;;;;
;1043;1055;1036;985;962;1021;1030;1031;1046;1055;1026;992;1009;960;879;850;
Коровы;;;;;;;;;;;;;;;;;;
;419;443;433;430;419;436;415;421;404;403;371;372;366;353;342;335;
Свиньи;;;;;;;;;;;;;;;;;;
;242;245;153;103;79;63;34;35;98;53;49;105;65;58;50;68;
Овцы;;;;;;;;;;;;;;;;;;
;237;215;245;254;182;147;83;90;129;134;120;;;;;;
Козы;;;;;;;;;;;;;;;;;;
;379;374;331;305;264;271;203;190;187;170;155;;;;;;
Птица;;;;;;;;;;;;;;;;;;
;746;830;991;4519;4928;1344;1349;1678;1708;1649;1278;;;;;1518;
Лошади;;;;;;;;;;;;;;;;;;
;40;37;33;24;22;17;22;12;9;9;9;9;8;6;5;5;
Кролики;;;;;;;;;;;;;;;;;;
;682;802;969;1622;1407;1081;826;1120;864;693;601;;;;;;
Пчелосемьи, единиц;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;170;
Овцы и  козы;;;;;;;;;;;;;;;;;;
;616;589;576;559;446;418;286;280;316;304;275;223;214;245;233;215;
Производство продуктов животноводства, тонна;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Скот и птица на убой (в живом весе);;;;;;;;;;;;149;;138;153,04;140,18;
Скот и птица в живой массе;251;211;198;213;191;186;162;171;178;152;161;;;;;;
Молоко;1328;1395;1460;1693;1618;1647;1641;1604;1554;1670;1467;1569;;1591;1533,39;1658,93;
Яйца, тысяча штук;140;103;212;514;526;190;226;262;268;285;209;188;194;193;334,58;256,85;
Муниципальный район Корткеросский;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Корткеросский;;;;;;;;;;;;;;;;;;
Продукция сельского хозяйства (в фактически действовавших ценах), тысяча рублей;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;377522;400531;462113;571595;522657;513096;566483;593886;574477;549176;575359;632052;701773;773980;841021;878006;
Продукция растениеводства (в фактически действовавших ценах), тысяча рублей;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;157324;151451;202773;309998;179080;229008;226720;228892;209917;151341;156791;172381;225101;231043;265551;240781;
Продукция животноводства (в фактически действовавших ценах), тысяча рублей;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;220199;249079;259339;261597;343577;284088;339763;364994;364560;397835;418568;459671;476672;542937;575470;637226;
Поголовье скота и птицы на конец года, голова;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Крупный рогатый скот;;;;;;;;;;;;;;;;;;
;6196;6008;5980;5812;5733;5612;5593;5245;5101;4882;4956;4704;4588;4434;4273;4282;
Коровы;;;;;;;;;;;;;;;;;;
;2662;2549;2451;2448;2368;2325;2302;2264;2108;2075;2235;2272;2207;2162;2163;2138;
Свиньи;;;;;;;;;;;;;;;;;;
;727;682;603;523;423;369;167;138;91;70;97;77;98;27;23;25;
Овцы;;;;;;;;;;;;;;;;;;
;611;512;492;437;414;428;405;379;399;319;343;;;;;;
Козы;;;;;;;;;;;;;;;;;;
;628;593;529;501;549;485;454;412;357;352;319;;;;;;
Птица;;;;;;;;;;;;;;;;;;
;1338;1509;1794;2258;2380;5888;6990;7592;8711;9762;9585;;;;;20974;
Лошади;;;;;;;;;;;;;;;;;;
;167;136;115;90;79;66;49;38;31;23;20;19;14;10;9;9;
Кролики;;;;;;;;;;;;;;;;;;
;1734;2025;2168;2226;2767;3037;2786;3262;3263;2608;1853;;;;;845;
Пчелосемьи, единиц;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;213;
Овцы и  козы;;;;;;;;;;;;;;;;;;
;1239;1105;1021;938;963;913;859;791;756;671;662;570;534;537;468;471;
Производство продуктов животноводства, тонна;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Скот и птица на убой (в живом весе);;;;;;;;;;;;666;501;467;490,09;454,25;
Скот и птица в живой массе;988;920;950;853;910;807;757;707;606;602;581;;;;;;
Молоко;8707;8805;8790;9020;9467;8914;9514;9362;9142;9345;9821;11252;11246;11148;11428,54;12019,96;
Яйца, тысяча штук;261;189;278;420;505;538;761;811;792;918;810;950;1111;934;1107,61;2328,08;
Муниципальный район Печора;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Муниципальный район Печора;;;;;;;;;;;;;;;;;;
Продукция сельского хозяйства (в фактически действовавших ценах), тысяча рублей;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;78258;76807;110420;129245;150862;135578;163297;171349;164489;158073;165037;137728;165823;176015;230810;209638;
Продукция растениеводства (в фактически действовавших ценах), тысяча рублей;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;34883;25947;49621;70729;80551;81414;97704;102452;96972;90365;108419;81009;111314;113804;159374;127938;
Продукция животноводства (в фактически действовавших ценах), тысяча рублей;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;43375;50860;60799;58516;70311;54163;65594;68898;67517;67708;56618;56719;54508;62211;71436;81699;
Поголовье скота и птицы на конец года, голова;;;;;;;;;;;;;;;;;;
